session_id,timestamp,velocity,acceleration,echo_index,echo_amplitude,echo_width,Peak Frequency,Spectral Centroid,Trend_5,Mean_5,Centroid_Trend_5,Trend_10,Mean_10,Centroid_Trend_10,Trend_25,Mean_25,Centroid_Trend_25,Trend_50,Mean_50,Centroid_Trend_50,calc_dist_m,ttc,label
people_with_keeping_distance,2269286.75,-0.1372557555157972,-0.0559231353119823,9531.0,241.02748,17.0,40546.875,173641.8700389865,-5372.0,12778.4,5665.742285811371,-6840.0,14472.7,-102289.5961052052,-3857.0,12427.8,-86845.61289621991,1285.0,10529.92,-20003.17813859496,0.8368980480000001,,not_towards
people_with_keeping_distance,2269487.0,-0.2026902260885083,-0.0696092834544836,8033.0,277.66769999999997,16.0,41210.9375,178936.19318279432,-5700.0,11404.4,-29513.14429191095,-8355.0,13638.9,-136219.22814338544,-4238.0,12213.6,-87785.02849799057,1803.0,10525.66,21826.19083204554,0.7053616640000001,2.4496134931922553,towards
people_with_keeping_distance,2269687.0,-0.1550302527973999,-0.0540606258146328,6267.0,323.0718,16.0,40468.75,267460.98501653515,-7286.0,9911.2,78426.52195092847,-10136.0,12626.8,-16731.148986408603,-5139.0,11973.44,84126.78657877681,1199.0,10526.4,133205.83508596083,0.5502927360000001,2.4785140566320822,towards
people_with_keeping_distance,2269885.5,-0.1333399288996693,-0.0458675985194189,5136.0,338.6107,16.0,41054.6875,197221.71606007247,-7036.0,8227.8,39917.40392645466,-10927.0,11500.1,-69233.81508340169,-8740.0,11722.64,-73681.42409038695,-188.0,10527.76,-74070.59801884549,0.45098188799999994,2.3953450334341917,towards
people_with_keeping_distance,2270107.0,-0.2609188930507798,-0.075557644394542,3073.0,284.7725,17.0,40781.25,169569.3934202748,-6458.0,6408.0,-4072.476618711691,-12537.0,10201.1,-100713.20642437004,-5902.0,11290.52,-13028.99070308305,2218.0,10482.74,-93671.43209359402,0.269833984,0.9133751838516955,towards
people_with_keeping_distance,2270303.75,-0.3754657044334226,-0.1007737677685262,1431.0,229.77482,15.0,40312.5,199556.76013679765,-6602.0,4788.0,20620.566954003327,-13472.0,8783.2,31580.63238362252,-5920.0,10988.76,-65976.93892450389,-174.0,10494.26,-18775.485481146985,0.125653248,0.3208451273840255,towards
people_with_keeping_distance,2270495.5,-0.2841690915993957,-0.0727648899543576,212.0,380.67374,15.0,41093.75,228493.770974053,-6055.0,3223.8,-38967.21404248214,-13521.0,7314.1,20044.43349934774,-805.0,10703.2,70518.27186729573,-15739.0,10466.4,24799.41717609283,0.018615296,0.06496742519426324,towards
people_with_keeping_distance,2270715.5,-0.2314224454255559,-0.0553429366381276,17400.0,251.72506,2.0,39414.0625,196986.99870870373,12264.0,5450.4,-234.7173513687449,3847.0,7680.8,7952.535643097042,16239.0,11358.52,29107.90296088817,1699.0,10495.38,-51843.05579473774,1.5278592,4.344826932511894,towards
people_with_keeping_distance,2270998.25,-0.1818305372204199,-0.0388444663327737,15635.0,271.84838,3.0,40390.625,208955.55509942764,12562.0,7550.2,39386.16167915283,3463.0,7889.0,51651.242965809826,14285.0,11937.48,-46521.33673871285,3110.0,10494.06,29397.137117406062,1.3728780799999998,4.941773391436122,towards
people_with_keeping_distance,2271213.75,-0.1478707228496615,-0.0281660684323157,13371.0,246.00986,3.0,40390.625,207510.3539648739,11940.0,9609.8,7953.593828076293,3840.0,8008.9,33868.48392588744,-1980.0,12418.32,-77366.60636896646,707.0,10510.98,-47281.61873078844,1.174080768,5.282396625676799,towards
people_with_keeping_distance,2271379.0,-0.1263306377996717,-0.0215616022504609,14387.0,238.0359,2.0,41015.625,200978.4770855142,14175.0,12201.0,-27515.293888538818,6354.0,8494.5,22042.28390271988,-1525.0,12379.76,-92300.2980778749,3757.0,10545.44,13510.244942457472,1.263293696,6.4498221686788115,towards
people_with_keeping_distance,2271576.0,-0.1199291467146597,-0.0188746653455761,13856.0,231.91092,13.0,40585.9375,211983.1880925853,-3544.0,14929.8,14996.189383881574,7589.0,9076.8,-55477.79692394985,-566.0,12297.52,-50196.16148310673,6029.0,10609.96,19507.630396892753,1.216667648,6.6573167841387635,towards
people_with_keeping_distance,2271835.75,-0.1350004289066323,-0.0214392464253486,11914.0,278.37059999999997,17.0,41250.0,161127.84751582413,-3721.0,13832.6,-47827.70758360351,6778.0,9641.5,-36093.86854424834,-4263.0,12197.2,-101024.55624913902,5777.0,10691.7,-122659.9031733275,1.046144512,,not_towards
people_with_keeping_distance,2272035.75,-0.0626589201792916,-0.002128082866095,11240.0,319.60622,16.0,41054.6875,280789.4382965255,-2131.0,12953.6,73279.08433165157,8167.0,10251.9,111220.0448762507,-6204.0,11999.72,7437.544457113952,6699.0,10793.76,109791.13934870478,0.98696192,,not_towards
people_with_keeping_distance,2272455.75,0.0128966844543921,0.0169526913157944,7302.0,342.08094,11.0,40937.5,257046.08704951595,-7085.0,11739.8,56067.60996400175,5871.0,10674.8,57489.3269127183,-8565.0,11594.04,15952.144134505012,4245.0,10848.98,104699.7379184256,0.641174016,,not_towards
people_with_keeping_distance,2272504.5,0.0818675274329273,0.0339498770887874,7378.0,428.1042,13.0,40976.5625,271728.5965342571,-6478.0,10338.0,59745.40844167181,7166.0,11269.5,43234.8255602041,-8993.0,11254.48,-4202.869609934569,4999.0,10935.4,111947.48023118518,0.6478474240000001,,not_towards
people_with_keeping_distance,2272875.5,-0.0239019111660657,0.0045468667318218,4401.0,238.9274,16.0,41015.625,180989.01756164103,-7513.0,8447.0,19861.17004581692,-12999.0,11688.4,-15997.981147062674,-11987.0,10775.68,-134166.4037645387,3343.0,10975.84,-4676.721072673128,0.386443008,,not_towards
