label,timestamp,velocity,acceleration,echo_index,echo_amplitude,echo_width,Peak Frequency,Spectral Centroid,Trend_5,Mean_5,Centroid_Trend_5,Trend_10,Mean_10,Centroid_Trend_10,Trend_25,Mean_25,Centroid_Trend_25,Trend_50,Mean_50,Centroid_Trend_50
cardboard,500049.40625,-0.09226254909351381,-0.010855439715373123,2050.0,421.38972,15.0,40351.5625,254352.61476587073,-2227.0,1903.4,131447.6995254379,-14947.0,6101.7,9127.329015951458,-8097.0,8688.8,60434.61250063061,-4150.0,10189.72,127596.94689105779
cardboard,500245.65625,0.04445314463689294,0.02429858681984555,18034.0,413.67524000000003,12.0,40820.3125,274970.60974460625,16853.0,4654.8,156480.2965915369,7796.0,6205.4,105284.98716721707,8570.0,9004.28,114224.482507585,14276.0,10426.4,141569.94574166692
cardboard,500438.28125,0.1412279654679229,0.04768673005232636,17501.0,354.3377,4.0,40898.4375,268874.1204924622,16463.0,7918.8,149232.35168242376,7698.0,6931.7,105159.67869811272,8791.0,9325.76,123066.81583367643,13824.0,10701.26,127068.5049513976
cardboard,500657.71875,0.21502386726396938,0.06380729570592333,16260.0,304.87850000000003,12.0,40937.5,251241.12254206758,15289.0,10963.2,154420.23648707516,6716.0,7577.4,111087.97553994344,9915.0,9627.76,110440.76869160033,3441.0,10952.92,5075.9141009737505
cardboard,500878.1875,0.28249793508170795,0.07741280563917283,18232.0,366.11876,2.0,40664.0625,243751.07984021583,16182.0,14415.4,-10601.534925654909,13314.0,8446.2,119163.37541515907,14552.0,10103.24,115374.46302980735,1851.0,11061.18,-13504.653806217044
cardboard,501074.5,0.332659298039863,0.0863233010672257,16253.0,392.09842000000003,3.0,40429.6875,242216.24504604685,-1781.0,17256.0,-32754.364698559395,11976.0,9579.7,119311.32980561403,15581.0,10606.16,123265.63303176725,185.0,11058.62,-47116.39310648822
cardboard,501268.03125,0.37373433383936755,0.09253720796776625,17799.0,415.4816,6.0,40781.25,271741.41144770104,298.0,17209.0,2867.290955238859,16618.0,10931.9,153251.0982946317,17774.0,11291.24,54407.68188085468,4235.0,11093.24,20899.922022198298
cardboard,501466.0625,0.3985303522143834,0.09418836399835474,11197.0,334.19174,13.0,40273.4375,243396.307569725,-5063.0,15948.2,-7844.814972342574,10159.0,11933.5,123754.53875968658,11176.0,11738.12,51154.20313858107,-6138.0,11045.9,-41174.3391282128
cardboard,501867.5625,0.3032520598683145,0.06047979956104156,9480.0,281.75654,17.0,40742.1875,161168.03177711603,-8752.0,14592.2,-82583.04806309979,8509.0,12777.7,64347.145722123605,4694.0,12116.48,-47593.77590207456,-5498.0,10888.8,-96189.92670076832
cardboard,501913.0,0.21619379182500675,0.03774579498029651,9221.0,286.64416,17.0,40703.125,147330.40134707346,-7032.0,12790.0,-94885.84369897339,7171.0,13602.7,-107022.21341879727,-22325.0,12293.88,-104229.12867323912,-7071.0,10773.66,-127646.71137129891
cardboard,502077.34375,0.13366647339093257,0.015238965044518268,7502.0,333.05386,15.0,40820.3125,150022.20727235533,-10297.0,11039.8,-121719.20417534572,-10532.0,14147.9,-124948.40247225092,-8867.0,11332.12,-115689.63893343753,-9794.0,10597.86,-119716.89803023601
cardboard,502287.5,0.03836260298043018,-0.009812223596352598,5052.0,611.66754,17.0,40664.0625,119626.09437906323,-6145.0,8490.4,-123770.21319066177,-12449.0,12849.7,-149248.02611339896,-12391.0,10879.44,-144050.09158884245,-5340.0,10352.98,-141261.7463385845
cardboard,502487.53125,-0.057025181106262667,-0.03361299033499826,3736.0,392.71906,15.0,40703.125,145290.52669776833,-5744.0,6998.2,-15877.505079347698,-12524.0,11473.2,-105950.59584429924,-12585.0,10331.16,-114543.67949860383,-5869.0,10219.86,-17262.05470412894
cardboard,502684.71875,0.03621648787256537,-0.008133433600975067,18834.0,368.69596,11.0,40859.375,258129.8300546743,9613.0,8869.0,110799.42870760083,602.0,11730.6,14378.750214458472,5511.0,10431.68,4799.565426785644,9648.0,10404.44,115940.40045914912
cardboard,503130.15625,0.09707862660125971,0.00816923723546964,15370.0,303.36396,3.0,250546.875,270011.86968916835,7868.0,10098.8,119989.66241681302,-883.0,11444.4,27795.624643121497,-1981.0,10513.56,21169.37104123796,7772.0,10528.12,121415.20516417359
